file,one_qubit_gates,two_qubit_gates
4392480_16_16_0_5_qiskit_aer_openmp.qasm,1632,1696
4392480_16_4_0_125_qiskit_aer_openmp.qasm,252,88
4392480_16_4_0_25_qiskit_aer_openmp.qasm,332,248
4392480_16_4_0_375_qiskit_aer_openmp.qasm,344,272
4392480_16_4_0_5_qiskit_aer_openmp.qasm,468,520
4392480_16_64_0_125_qiskit_aer_openmp.qasm,4176,2176
4392480_16_64_0_25_qiskit_aer_openmp.qasm,5072,3968
4392480_16_64_0_375_qiskit_aer_openmp.qasm,5584,4992
4392480_16_64_0_5_qiskit_aer_openmp.qasm,6480,6784
4392480_20_1_0_125_qiskit_aer_openmp.qasm,104,48
4392480_20_1_0_25_qiskit_aer_openmp.qasm,130,100
4392480_20_1_0_375_qiskit_aer_openmp.qasm,154,148
4392480_20_1_0_5_qiskit_aer_openmp.qasm,176,192
4392480_20_16_0_125_qiskit_aer_openmp.qasm,1332,704
4392480_20_16_0_25_qiskit_aer_openmp.qasm,1796,1632
4392480_20_16_0_375_qiskit_aer_openmp.qasm,2212,2464
4392480_20_16_0_5_qiskit_aer_openmp.qasm,2388,2816
4392480_20_4_0_125_qiskit_aer_openmp.qasm,320,120
4392480_20_4_0_25_qiskit_aer_openmp.qasm,452,384
4392480_20_4_0_375_qiskit_aer_openmp.qasm,580,640
4392480_20_4_0_5_qiskit_aer_openmp.qasm,668,816
4392480_20_64_0_125_qiskit_aer_openmp.qasm,5524,3328
4392480_20_64_0_25_qiskit_aer_openmp.qasm,7124,6528
4392480_20_64_0_375_qiskit_aer_openmp.qasm,9044,10368
4392480_20_64_0_5_qiskit_aer_openmp.qasm,9684,11648
4392480_24_1_0_125_qiskit_aer_openmp.qasm,137,82
4392480_24_1_0_25_qiskit_aer_openmp.qasm,173,154
4392480_24_1_0_375_qiskit_aer_openmp.qasm,199,206
4392480_24_1_0_5_qiskit_aer_openmp.qasm,209,226
4392480_24_16_0_125_qiskit_aer_openmp.qasm,1704,1056
4392480_24_16_0_25_qiskit_aer_openmp.qasm,2264,2176
4392480_24_16_0_375_qiskit_aer_openmp.qasm,2840,3328
4392480_24_4_0_125_qiskit_aer_openmp.qasm,424,224
4392480_24_4_0_25_qiskit_aer_openmp.qasm,620,616
4392480_24_4_0_375_qiskit_aer_openmp.qasm,696,768
4392480_24_64_0_125_qiskit_aer_openmp.qasm,7064,4864
4392480_24_64_0_25_qiskit_aer_openmp.qasm,9176,9088
4392480_24_64_0_375_qiskit_aer_openmp.qasm,11096,12928
4392481_10_1_0_125_qiskit_aer_openmp.qasm,46,12
4392481_10_1_0_25_qiskit_aer_openmp.qasm,52,24
4392481_10_1_0_375_qiskit_aer_openmp.qasm,55,30
4392481_10_1_0_5_qiskit_aer_openmp.qasm,62,44
4392481_10_16_0_125_qiskit_aer_openmp.qasm,586,192
4392481_10_16_0_25_qiskit_aer_openmp.qasm,714,448
4392481_10_16_0_375_qiskit_aer_openmp.qasm,714,448
4392481_10_16_0_5_qiskit_aer_openmp.qasm,826,672
4392481_10_4_0_125_qiskit_aer_openmp.qasm,158,56
4392481_10_4_0_25_qiskit_aer_openmp.qasm,162,64
4392481_10_4_0_375_qiskit_aer_openmp.qasm,202,144
4392481_10_4_0_5_qiskit_aer_openmp.qasm,238,216
4392481_10_64_0_125_qiskit_aer_openmp.qasm,2378,896
4392481_10_64_0_25_qiskit_aer_openmp.qasm,2890,1920
4392481_10_64_0_375_qiskit_aer_openmp.qasm,3082,2304
4392481_10_64_0_5_qiskit_aer_openmp.qasm,2890,1920
4392481_16_1_0_125_qiskit_aer_openmp.qasm,81,34
4392481_16_1_0_25_qiskit_aer_openmp.qasm,87,46
4392481_16_1_0_375_qiskit_aer_openmp.qasm,115,102
4392481_16_1_0_5_qiskit_aer_openmp.qasm,132,136
4392481_16_16_0_125_qiskit_aer_openmp.qasm,960,352
4392481_16_16_0_25_qiskit_aer_openmp.qasm,1264,960
4392481_16_16_0_375_qiskit_aer_openmp.qasm,1392,1216
4392481_16_16_0_5_qiskit_aer_openmp.qasm,1632,1696
4392481_16_4_0_125_qiskit_aer_openmp.qasm,252,88
4392481_16_4_0_25_qiskit_aer_openmp.qasm,332,248
4392481_16_4_0_375_qiskit_aer_openmp.qasm,344,272
4392481_16_4_0_5_qiskit_aer_openmp.qasm,468,520
4392481_16_64_0_125_qiskit_aer_openmp.qasm,4176,2176
4392481_16_64_0_25_qiskit_aer_openmp.qasm,5072,3968
4392481_16_64_0_375_qiskit_aer_openmp.qasm,5584,4992
4392481_16_64_0_5_qiskit_aer_openmp.qasm,6480,6784
4392481_20_1_0_125_qiskit_aer_openmp.qasm,104,48
4392481_20_1_0_25_qiskit_aer_openmp.qasm,130,100
4392481_20_1_0_375_qiskit_aer_openmp.qasm,154,148
4392481_20_1_0_5_qiskit_aer_openmp.qasm,176,192
4392481_20_16_0_125_qiskit_aer_openmp.qasm,1332,704
4392481_20_16_0_25_qiskit_aer_openmp.qasm,1796,1632
4392481_20_16_0_375_qiskit_aer_openmp.qasm,2212,2464
4392481_20_16_0_5_qiskit_aer_openmp.qasm,2388,2816
4392481_20_4_0_125_qiskit_aer_openmp.qasm,320,120
4392481_20_4_0_25_qiskit_aer_openmp.qasm,452,384
4392481_20_4_0_375_qiskit_aer_openmp.qasm,580,640
4392481_20_4_0_5_qiskit_aer_openmp.qasm,668,816
4392481_20_64_0_125_qiskit_aer_openmp.qasm,5524,3328
4392481_20_64_0_25_qiskit_aer_openmp.qasm,7124,6528
4392481_20_64_0_375_qiskit_aer_openmp.qasm,9044,10368
4392481_20_64_0_5_qiskit_aer_openmp.qasm,9684,11648
4392481_24_1_0_125_qiskit_aer_openmp.qasm,137,82
4392481_24_1_0_25_qiskit_aer_openmp.qasm,173,154
4392481_24_1_0_375_qiskit_aer_openmp.qasm,199,206
4392481_24_1_0_5_qiskit_aer_openmp.qasm,209,226
4392481_24_16_0_125_qiskit_aer_openmp.qasm,1704,1056
4392481_24_16_0_25_qiskit_aer_openmp.qasm,2264,2176
4392481_24_16_0_375_qiskit_aer_openmp.qasm,2840,3328
4392481_24_16_0_5_qiskit_aer_openmp.qasm,3448,4544
4392481_24_4_0_125_qiskit_aer_openmp.qasm,424,224
4392481_24_4_0_25_qiskit_aer_openmp.qasm,620,616
4392481_24_4_0_375_qiskit_aer_openmp.qasm,696,768
4392481_24_4_0_5_qiskit_aer_openmp.qasm,912,1200
4392481_24_64_0_125_qiskit_aer_openmp.qasm,7064,4864
4392481_24_64_0_25_qiskit_aer_openmp.qasm,9176,9088
4392481_24_64_0_375_qiskit_aer_openmp.qasm,11096,12928
4392481_24_64_0_5_qiskit_aer_openmp.qasm,14104,18944
4392482_10_1_0_125_qiskit_aer_openmp.qasm,46,12
4392482_10_1_0_25_qiskit_aer_openmp.qasm,52,24
4392482_10_1_0_375_qiskit_aer_openmp.qasm,55,30
4392482_10_1_0_5_qiskit_aer_openmp.qasm,62,44
4392482_10_16_0_125_qiskit_aer_openmp.qasm,586,192
4392482_10_16_0_25_qiskit_aer_openmp.qasm,714,448
4392482_10_16_0_375_qiskit_aer_openmp.qasm,714,448
4392482_10_16_0_5_qiskit_aer_openmp.qasm,826,672
4392482_10_4_0_125_qiskit_aer_openmp.qasm,158,56
4392482_10_4_0_25_qiskit_aer_openmp.qasm,162,64
4392482_10_4_0_375_qiskit_aer_openmp.qasm,202,144
4392482_10_4_0_5_qiskit_aer_openmp.qasm,238,216
4392482_10_64_0_125_qiskit_aer_openmp.qasm,2378,896
4392482_10_64_0_25_qiskit_aer_openmp.qasm,2890,1920
4392482_10_64_0_375_qiskit_aer_openmp.qasm,3082,2304
4392482_10_64_0_5_qiskit_aer_openmp.qasm,2890,1920
4392482_16_1_0_125_qiskit_aer_openmp.qasm,81,34
4392482_16_1_0_25_qiskit_aer_openmp.qasm,87,46
4392482_16_1_0_375_qiskit_aer_openmp.qasm,115,102
4392482_16_1_0_5_qiskit_aer_openmp.qasm,132,136
4392482_16_16_0_125_qiskit_aer_openmp.qasm,960,352
4392482_16_16_0_25_qiskit_aer_openmp.qasm,1264,960
4392482_16_16_0_375_qiskit_aer_openmp.qasm,1392,1216
4392482_16_16_0_5_qiskit_aer_openmp.qasm,1632,1696
4392482_16_4_0_125_qiskit_aer_openmp.qasm,252,88
4392482_16_4_0_25_qiskit_aer_openmp.qasm,332,248
4392482_16_4_0_375_qiskit_aer_openmp.qasm,344,272
4392482_16_4_0_5_qiskit_aer_openmp.qasm,468,520
4392482_16_64_0_125_qiskit_aer_openmp.qasm,4176,2176
4392482_16_64_0_25_qiskit_aer_openmp.qasm,5072,3968
4392482_16_64_0_375_qiskit_aer_openmp.qasm,5584,4992
4392482_16_64_0_5_qiskit_aer_openmp.qasm,6480,6784
4392482_20_1_0_125_qiskit_aer_openmp.qasm,104,48
4392482_20_1_0_25_qiskit_aer_openmp.qasm,130,100
4392482_20_1_0_375_qiskit_aer_openmp.qasm,154,148
4392482_20_1_0_5_qiskit_aer_openmp.qasm,176,192
4392482_20_16_0_125_qiskit_aer_openmp.qasm,1332,704
4392482_20_16_0_25_qiskit_aer_openmp.qasm,1796,1632
4392482_20_16_0_375_qiskit_aer_openmp.qasm,2212,2464
4392482_20_16_0_5_qiskit_aer_openmp.qasm,2388,2816
4392482_20_4_0_125_qiskit_aer_openmp.qasm,320,120
4392482_20_4_0_25_qiskit_aer_openmp.qasm,452,384
4392482_20_4_0_375_qiskit_aer_openmp.qasm,580,640
4392482_20_4_0_5_qiskit_aer_openmp.qasm,668,816
4392482_20_64_0_125_qiskit_aer_openmp.qasm,5524,3328
4392482_20_64_0_25_qiskit_aer_openmp.qasm,7124,6528
4392482_20_64_0_375_qiskit_aer_openmp.qasm,9044,10368
4392482_20_64_0_5_qiskit_aer_openmp.qasm,9684,11648
4392482_24_1_0_125_qiskit_aer_openmp.qasm,137,82
4392482_24_1_0_25_qiskit_aer_openmp.qasm,173,154
4392482_24_1_0_375_qiskit_aer_openmp.qasm,199,206
4392482_24_1_0_5_qiskit_aer_openmp.qasm,209,226
4392482_24_16_0_125_qiskit_aer_openmp.qasm,1704,1056
4392482_24_16_0_25_qiskit_aer_openmp.qasm,2264,2176
4392482_24_16_0_375_qiskit_aer_openmp.qasm,2840,3328
4392482_24_16_0_5_qiskit_aer_openmp.qasm,3448,4544
4392482_24_4_0_125_qiskit_aer_openmp.qasm,424,224
4392482_24_4_0_25_qiskit_aer_openmp.qasm,620,616
4392482_24_4_0_375_qiskit_aer_openmp.qasm,696,768
4392482_24_4_0_5_qiskit_aer_openmp.qasm,912,1200
4392482_24_64_0_125_qiskit_aer_openmp.qasm,7064,4864
4392482_24_64_0_25_qiskit_aer_openmp.qasm,9176,9088
4392482_24_64_0_375_qiskit_aer_openmp.qasm,11096,12928
4392482_24_64_0_5_qiskit_aer_openmp.qasm,14104,18944
4392483_10_1_0_125_qiskit_aer_openmp.qasm,46,12
4392483_10_1_0_25_qiskit_aer_openmp.qasm,52,24
4392483_10_1_0_375_qiskit_aer_openmp.qasm,55,30
4392483_10_1_0_5_qiskit_aer_openmp.qasm,62,44
4392483_10_16_0_125_qiskit_aer_openmp.qasm,586,192
4392483_10_16_0_25_qiskit_aer_openmp.qasm,714,448
4392483_10_16_0_375_qiskit_aer_openmp.qasm,714,448
4392483_10_16_0_5_qiskit_aer_openmp.qasm,826,672
4392483_10_4_0_125_qiskit_aer_openmp.qasm,158,56
4392483_10_4_0_25_qiskit_aer_openmp.qasm,162,64
4392483_10_4_0_375_qiskit_aer_openmp.qasm,202,144
4392483_10_4_0_5_qiskit_aer_openmp.qasm,238,216
4392483_10_64_0_125_qiskit_aer_openmp.qasm,2378,896
4392483_10_64_0_25_qiskit_aer_openmp.qasm,2890,1920
4392483_10_64_0_375_qiskit_aer_openmp.qasm,3082,2304
4392483_10_64_0_5_qiskit_aer_openmp.qasm,2890,1920
4392483_16_1_0_125_qiskit_aer_openmp.qasm,81,34
4392483_16_1_0_25_qiskit_aer_openmp.qasm,87,46
4392483_16_1_0_375_qiskit_aer_openmp.qasm,115,102
4392483_16_1_0_5_qiskit_aer_openmp.qasm,132,136
4392483_16_16_0_125_qiskit_aer_openmp.qasm,960,352
4392483_16_16_0_25_qiskit_aer_openmp.qasm,1264,960
4392483_16_16_0_375_qiskit_aer_openmp.qasm,1392,1216
4392483_16_16_0_5_qiskit_aer_openmp.qasm,1632,1696
4392483_16_4_0_125_qiskit_aer_openmp.qasm,252,88
4392483_16_4_0_25_qiskit_aer_openmp.qasm,332,248
4392483_16_4_0_375_qiskit_aer_openmp.qasm,344,272
4392483_16_4_0_5_qiskit_aer_openmp.qasm,468,520
4392483_16_64_0_125_qiskit_aer_openmp.qasm,4176,2176
4392483_16_64_0_25_qiskit_aer_openmp.qasm,5072,3968
4392483_16_64_0_375_qiskit_aer_openmp.qasm,5584,4992
4392483_16_64_0_5_qiskit_aer_openmp.qasm,6480,6784
4392483_20_1_0_125_qiskit_aer_openmp.qasm,104,48
4392483_20_1_0_25_qiskit_aer_openmp.qasm,130,100
4392483_20_1_0_375_qiskit_aer_openmp.qasm,154,148
4392483_20_1_0_5_qiskit_aer_openmp.qasm,176,192
4392483_20_16_0_125_qiskit_aer_openmp.qasm,1332,704
4392483_20_16_0_25_qiskit_aer_openmp.qasm,1796,1632
4392483_20_16_0_375_qiskit_aer_openmp.qasm,2212,2464
4392483_20_16_0_5_qiskit_aer_openmp.qasm,2388,2816
4392483_20_4_0_125_qiskit_aer_openmp.qasm,320,120
4392483_20_4_0_25_qiskit_aer_openmp.qasm,452,384
4392483_20_4_0_375_qiskit_aer_openmp.qasm,580,640
4392483_20_4_0_5_qiskit_aer_openmp.qasm,668,816
4392483_20_64_0_125_qiskit_aer_openmp.qasm,5524,3328
4392483_20_64_0_25_qiskit_aer_openmp.qasm,7124,6528
4392483_20_64_0_375_qiskit_aer_openmp.qasm,9044,10368
4392483_20_64_0_5_qiskit_aer_openmp.qasm,9684,11648
4392483_24_1_0_125_qiskit_aer_openmp.qasm,137,82
4392483_24_1_0_25_qiskit_aer_openmp.qasm,173,154
4392483_24_1_0_375_qiskit_aer_openmp.qasm,199,206
4392483_24_1_0_5_qiskit_aer_openmp.qasm,209,226
4392483_24_16_0_125_qiskit_aer_openmp.qasm,1704,1056
4392483_24_16_0_25_qiskit_aer_openmp.qasm,2264,2176
4392483_24_16_0_375_qiskit_aer_openmp.qasm,2840,3328
4392483_24_16_0_5_qiskit_aer_openmp.qasm,3448,4544
4392483_24_4_0_125_qiskit_aer_openmp.qasm,424,224
4392483_24_4_0_25_qiskit_aer_openmp.qasm,620,616
4392483_24_4_0_375_qiskit_aer_openmp.qasm,696,768
4392483_24_4_0_5_qiskit_aer_openmp.qasm,912,1200
4392483_24_64_0_125_qiskit_aer_openmp.qasm,7064,4864
4392483_24_64_0_25_qiskit_aer_openmp.qasm,9176,9088
4392483_24_64_0_375_qiskit_aer_openmp.qasm,11096,12928
4392483_24_64_0_5_qiskit_aer_openmp.qasm,14104,18944
