file,one_qubit_gates,two_qubit_gates
4392462_10_4_0_5_lightning_kokkos_openmp.qasm,238,216
4392462_10_64_0_125_lightning_kokkos_openmp.qasm,2378,896
4392462_10_64_0_25_lightning_kokkos_openmp.qasm,2890,1920
4392462_10_64_0_375_lightning_kokkos_openmp.qasm,3082,2304
4392462_10_64_0_5_lightning_kokkos_openmp.qasm,2890,1920
4392462_16_16_0_125_lightning_kokkos_openmp.qasm,960,352
4392462_16_64_0_125_lightning_kokkos_openmp.qasm,4176,2176
4392463_10_1_0_125_lightning_kokkos_openmp.qasm,46,12
4392463_10_1_0_25_lightning_kokkos_openmp.qasm,52,24
4392463_10_1_0_375_lightning_kokkos_openmp.qasm,55,30
4392463_10_1_0_5_lightning_kokkos_openmp.qasm,62,44
4392463_10_16_0_125_lightning_kokkos_openmp.qasm,586,192
4392463_10_16_0_25_lightning_kokkos_openmp.qasm,714,448
4392463_10_16_0_375_lightning_kokkos_openmp.qasm,714,448
4392463_10_16_0_5_lightning_kokkos_openmp.qasm,826,672
4392463_10_4_0_125_lightning_kokkos_openmp.qasm,158,56
4392463_10_4_0_25_lightning_kokkos_openmp.qasm,162,64
4392463_10_4_0_375_lightning_kokkos_openmp.qasm,202,144
4392463_10_4_0_5_lightning_kokkos_openmp.qasm,238,216
4392463_10_64_0_125_lightning_kokkos_openmp.qasm,2378,896
4392463_10_64_0_25_lightning_kokkos_openmp.qasm,2890,1920
4392463_10_64_0_375_lightning_kokkos_openmp.qasm,3082,2304
4392463_10_64_0_5_lightning_kokkos_openmp.qasm,2890,1920
4392463_16_16_0_125_lightning_kokkos_openmp.qasm,960,352
4392463_16_64_0_125_lightning_kokkos_openmp.qasm,4176,2176
4392464_10_1_0_125_lightning_kokkos_openmp.qasm,46,12
4392464_10_1_0_25_lightning_kokkos_openmp.qasm,52,24
4392464_10_1_0_375_lightning_kokkos_openmp.qasm,55,30
4392464_10_1_0_5_lightning_kokkos_openmp.qasm,62,44
4392464_10_16_0_125_lightning_kokkos_openmp.qasm,586,192
4392464_10_16_0_25_lightning_kokkos_openmp.qasm,714,448
4392464_10_16_0_375_lightning_kokkos_openmp.qasm,714,448
4392464_10_16_0_5_lightning_kokkos_openmp.qasm,826,672
4392464_10_4_0_125_lightning_kokkos_openmp.qasm,158,56
4392464_10_4_0_25_lightning_kokkos_openmp.qasm,162,64
4392464_10_4_0_375_lightning_kokkos_openmp.qasm,202,144
4392464_10_4_0_5_lightning_kokkos_openmp.qasm,238,216
4392464_10_64_0_125_lightning_kokkos_openmp.qasm,2378,896
4392464_10_64_0_25_lightning_kokkos_openmp.qasm,2890,1920
4392464_10_64_0_375_lightning_kokkos_openmp.qasm,3082,2304
4392464_10_64_0_5_lightning_kokkos_openmp.qasm,2890,1920
4392464_16_16_0_125_lightning_kokkos_openmp.qasm,960,352
4392464_16_64_0_125_lightning_kokkos_openmp.qasm,4176,2176
4392466_10_1_0_125_lightning_qubit.qasm,46,12
4392466_10_1_0_25_lightning_qubit.qasm,52,24
4392466_10_1_0_375_lightning_qubit.qasm,55,30
4392466_10_1_0_5_lightning_qubit.qasm,62,44
4392466_10_16_0_125_lightning_qubit.qasm,586,192
4392466_10_16_0_25_lightning_qubit.qasm,714,448
4392466_10_16_0_375_lightning_qubit.qasm,714,448
4392466_10_16_0_5_lightning_qubit.qasm,826,672
4392466_10_4_0_125_lightning_qubit.qasm,158,56
4392466_10_4_0_25_lightning_qubit.qasm,162,64
4392466_10_4_0_375_lightning_qubit.qasm,202,144
4392466_10_4_0_5_lightning_qubit.qasm,238,216
4392466_10_64_0_125_lightning_qubit.qasm,2378,896
4392466_10_64_0_25_lightning_qubit.qasm,2890,1920
4392466_10_64_0_375_lightning_qubit.qasm,3082,2304
4392466_10_64_0_5_lightning_qubit.qasm,2890,1920
4392466_16_1_0_125_lightning_qubit.qasm,81,34
4392466_16_1_0_25_lightning_qubit.qasm,87,46
4392466_16_1_0_375_lightning_qubit.qasm,115,102
4392466_16_1_0_5_lightning_qubit.qasm,132,136
4392466_16_16_0_125_lightning_qubit.qasm,960,352
4392466_16_16_0_25_lightning_qubit.qasm,1264,960
4392466_16_16_0_375_lightning_qubit.qasm,1392,1216
4392466_16_16_0_5_lightning_qubit.qasm,1632,1696
4392466_16_4_0_125_lightning_qubit.qasm,252,88
4392466_16_4_0_25_lightning_qubit.qasm,332,248
4392466_16_4_0_375_lightning_qubit.qasm,344,272
4392466_16_4_0_5_lightning_qubit.qasm,468,520
4392466_16_64_0_125_lightning_qubit.qasm,4176,2176
4392466_16_64_0_25_lightning_qubit.qasm,5072,3968
4392466_16_64_0_375_lightning_qubit.qasm,5584,4992
4392466_16_64_0_5_lightning_qubit.qasm,6480,6784
4392466_20_1_0_125_lightning_qubit.qasm,104,48
4392466_20_1_0_25_lightning_qubit.qasm,130,100
4392466_20_1_0_375_lightning_qubit.qasm,154,148
4392466_20_1_0_5_lightning_qubit.qasm,176,192
4392466_20_16_0_125_lightning_qubit.qasm,1332,704
4392466_20_16_0_25_lightning_qubit.qasm,1796,1632
4392466_20_16_0_375_lightning_qubit.qasm,2212,2464
4392466_20_16_0_5_lightning_qubit.qasm,2388,2816
4392466_20_4_0_125_lightning_qubit.qasm,320,120
