repeat,ansatz,backend,qubits,depth,n_expval,last_expval,func_time,gate_depth,one_qubit_gates,two_qubit_gates,circuit_time,wall_time,n_nodes,n_cpus,n_gpus
2,qaoa_hypercube_maxcut_evolution,default.qubit,20,32,100,-1.9552204933659807,1801.0125637054443,1800.6768238544464,193,2036,192,1802.163674590,1,1,0
2,qaoa_hypercube_maxcut_evolution,default.qubit,21,1,100,-0.0957602475033875,208.23993229866028,208.22914099693298,7,87,6,209.379426692,1,1,0
2,qaoa_hypercube_maxcut_evolution,default.qubit,21,2,100,-2.5697218713680354,327.22350120544434,327.20728302001953,13,153,12,328.374152764,1,1,0
2,qaoa_hypercube_maxcut_evolution,default.qubit,21,4,100,-0.2610201299312495,583.2634921073914,583.2389862537384,25,285,24,584.354586776,1,1,0
2,qaoa_hypercube_maxcut_evolution,default.qubit,21,8,100,-2.506820422646062,1086.9641213417053,1086.9148116111755,49,549,48,1088.315359903,1,1,0
2,qaoa_hypercube_maxcut_evolution,default.qubit,21,16,100,-1.5776792144790956,2063.229724407196,2063.1098709106445,97,1077,96,2064.520164539,1,1,0
2,qaoa_hypercube_maxcut_evolution,default.qubit,21,32,100,-1.9552204933117392,4000.3174200057983,3999.938886165619,193,2133,192,4001.733453630,1,1,0
2,qaoa_hypercube_maxcut_evolution,default.qubit,22,1,100,-0.09576024750309758,407.95907282829285,407.94726967811584,7,91,6,412.976893684,1,1,0
2,qaoa_hypercube_maxcut_evolution,default.qubit,22,2,100,-2.5697218713283347,654.3981103897095,654.3826904296875,13,160,12,656.331820945,1,1,0
2,qaoa_hypercube_maxcut_evolution,default.qubit,22,4,100,-0.2610201299189995,1144.9758191108704,1144.9504249095917,25,298,24,1146.749665972,1,1,0
2,qaoa_hypercube_maxcut_evolution,default.qubit,22,8,100,-2.5068204225753115,2131.100725889206,2131.0482683181763,49,574,48,2132.895990810,1,1,0
2,qaoa_hypercube_maxcut_evolution,default.qubit,22,16,100,-1.5776792145333338,4101.135644674301,4100.939538478851,97,1126,96,4103.315157745,1,1,0
2,qaoa_hypercube_maxcut_evolution,default.qubit,22,32,100,-1.9552204932836117,8224.719102621078,8224.235746860504,193,2230,192,8229.612367216,1,1,0
